Patch,Type,Map,Win,Length,LengthS,Ten,TenS,Diff,DiffS,Ult1PM,Swipe,SwipeSuccess,SwipePercent,Kills,Assists,Deaths,KillsPM,AssistsPM,DeathsPM,Siege,Hero,Healing,XP,SiegePM,HeroPM,HealingPM,XPPM,Time,D1,D2,D3,D4,D5,D6,D7,D8
,,,0.714,19:54,"1,194",06:25,385,13:29,809,0.59,8.14,5.86,0.746,1.00,13.57,2.00,0.05,0.72,0.10,"36,454","21,380","79,341","10,927","1,828","1,088","3,940",556,20.71,,,,,,,,
2.29.9,,Cursed Hollow,1,16:55,"1,015",06:34,394,10:21,621,0.48,5,4,0.800,0,15,2,0.00,0.89,0.12,28845,24018,69705,10320,1705,1420,4120,610,21,2,5,,,,,,
2.29.9,,Sky Temple,1,22:01,"1,321",06:07,367,15:54,954,0.69,11,10,0.909,2,16,1,0.09,0.73,0.05,26339,23158,82717,12917,1196,1052,3757,587,20,1,,,,,,,
2.29.9,,Tomb of the Spider Queen,1,15:56,956,05:47,347,10:09,609,0.69,7,5,0.714,1,24,1,0.06,1.51,0.06,39367,16609,70066,10693,2471,1042,4397,671,20,6,,,,,,,
2.29.9,,Warhead Junction,0,23:01,"1,381",06:30,390,16:31,991,0.61,10,8,0.800,0,9,4,0.00,0.39,0.17,25106,16581,121662,9347,1091,720,5286,406,22,8,2,1,6,,,,
2.29.9,1,Cursed Hollow,1,17:12,"1,032",06:44,404,10:28,628,0.29,3,3,1.000,2,11,2,0.12,0.64,0.12,30342,17085,44310,8613,1764,993,2576,501,21,1,2,,,,,,
2.29.9,3,Dragon Shire,1,25:58,"1,558",05:51,351,20:07,"1,207",0.70,14,8,0.571,2,11,2,0.08,0.42,0.08,73318,29041,104416,14157,2824,1118,4021,545,20,2,6,,,,,,
2.30.1,3,Infernal Shrines,0,18:15,"1,095",07:25,445,10:50,650,0.65,7,3,0.429,0,9,2,0.00,0.49,0.11,31860,23165,62511,10442,1746,1269,3425,572,21,6,12,,,,,,
